headline,timestamp,source,language
"Taking Stock: Nifty ends below 26,000 ahead of monthly expiry, Sensex dips 331 points; IT outperforms",2025-11-24 18:12:13,MoneyControl,English
"Daily Voice: Post-Q2, Motilal's Gautam Duggad turns most overweight on non-lending financials; prefers midcap IT over largecaps",2025-11-24 18:12:13,MoneyControl,English
"Nifty gives up 26,000, Sensex erases day's gains while most sectors settle in the red",2025-11-24 18:12:13,MoneyControl,English
"Sensex settles 550 pts lower from day's high, Nifty ends near 25,950: FII selling among key factors behind market decline",2025-11-24 18:12:13,MoneyControl,English
"Nifty Slips Below 26,100 Amid Sluggish Trade, Midcaps Struggle; IT Lends Support | Closing Bell Live",2025-11-24 18:12:13,MoneyControl,English
"Persistent Systems shares rise 2%, hit 10-month high after CLSA reiterates bullish call",2025-11-24 18:12:13,MoneyControl,English
Bajaj Electricals shares jump up to 9% as company looks to sell loss-making cookware unit Nirlep,2025-11-24 18:12:13,MoneyControl,English
"GIFT City-based DSP Global Equity Fund has Amazon as largest holding, 52 percent portfolio in 19 companies",2025-11-24 18:12:13,MoneyControl,English
"Real estate shares fall for 5th day, extend losses to 6%; analysts say 'valuations far ahead of fundamentals'",2025-11-24 18:12:13,MoneyControl,English
"Rupee at record low, breaches 89-mark; what does this mean for investors?",2025-11-24 18:12:13,MoneyControl,English
Howard Marks: 'People are shakily optimistic',2025-11-24 18:12:13,MoneyControl,English
"Funds build cash, valuations bite: Why midcaps may stay on the backfoot",2025-11-24 18:12:13,MoneyControl,English
"Defence index falls 2.5% on Tejas crash, Russia-Ukraine peace talks; Mishra Dhatu Nigam, BEML lead losses",2025-11-24 18:12:13,MoneyControl,English
LIVE: Samir Arora on beating the market and backing new-age stocks,2025-11-24 18:12:13,MoneyControl,English
"LIVE: Jim Rogers on the Next Big Money-Making Trends: Gold, Silver, AI or India?",2025-11-24 18:12:13,MoneyControl,English
Navratri to Diwali: Indians Travel & Spend Like Never Before | Festive Spotlight | 4K,2025-11-24 18:12:13,MoneyControl,English
"Rajeev Thakkar on hyper-competition, cash holdings and finding value in US and China",2025-11-24 18:12:13,MoneyControl,English
grievanceofficer@nw18.com,2025-11-24 18:12:13,MoneyControl,English
Dharmendra Death News,2025-11-24 18:12:13,MoneyControl,English
Dharmendra Net Worth,2025-11-24 18:12:13,MoneyControl,English
