TIMESTAMP,SYMBOL,INSTRUMENT,EXPIRY_DT,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,OPEN_INT,CHG_IN_OI
2025-07-09,NIFTY,FUTIDX,2025-08-08,25514.599609375,25548.69921875,25424.349609375,25476.099609375,25476.099609375,239,25476099,0
2025-07-10,NIFTY,FUTIDX,2025-08-09,25511.650390625,25524.05078125,25340.44921875,25355.25,25355.25,219,25355250,0
2025-07-11,NIFTY,FUTIDX,2025-08-10,25255.5,25322.44921875,25129.0,25149.849609375,25149.849609375,250,25149849,0
2025-07-14,NIFTY,FUTIDX,2025-08-13,25149.5,25151.099609375,25001.94921875,25082.30078125,25082.30078125,259,25082300,0
2025-07-15,NIFTY,FUTIDX,2025-08-14,25089.5,25245.19921875,25088.44921875,25195.80078125,25195.80078125,241,25195800,0
2025-07-16,NIFTY,FUTIDX,2025-08-15,25196.599609375,25255.30078125,25121.05078125,25212.05078125,25212.05078125,228,25212050,0
2025-07-17,NIFTY,FUTIDX,2025-08-16,25230.75,25238.349609375,25101.0,25111.44921875,25111.44921875,243,25111449,0
2025-07-18,NIFTY,FUTIDX,2025-08-17,25108.55078125,25144.599609375,24918.650390625,24968.400390625,24968.400390625,317,24968400,0
2025-07-21,NIFTY,FUTIDX,2025-08-20,24999.0,25111.400390625,24882.30078125,25090.69921875,25090.69921875,305,25090699,0
2025-07-22,NIFTY,FUTIDX,2025-08-21,25166.650390625,25182.0,25035.55078125,25060.900390625,25060.900390625,483,25060900,0
2025-07-23,NIFTY,FUTIDX,2025-08-22,25139.349609375,25233.5,25085.5,25219.900390625,25219.900390625,271,25219900,0
2025-07-24,NIFTY,FUTIDX,2025-08-23,25243.30078125,25246.25,25018.69921875,25062.099609375,25062.099609375,338,25062099,0
2025-07-25,NIFTY,FUTIDX,2025-08-24,25010.349609375,25010.349609375,24806.349609375,24837.0,24837.0,278,24837000,0
2025-07-28,NIFTY,FUTIDX,2025-08-27,24782.44921875,24889.19921875,24646.599609375,24680.900390625,24680.900390625,262,24680900,0
2025-07-29,NIFTY,FUTIDX,2025-08-28,24609.650390625,24847.150390625,24598.599609375,24821.099609375,24821.099609375,284,24821099,0
2025-07-30,NIFTY,FUTIDX,2025-08-29,24890.400390625,24902.30078125,24771.94921875,24855.05078125,24855.05078125,243,24855050,0
2025-07-31,NIFTY,FUTIDX,2025-08-30,24642.25,24956.5,24635.0,24768.349609375,24768.349609375,346,24768349,0
2025-08-01,NIFTY,FUTIDX,2025-08-31,24734.900390625,24784.150390625,24535.05078125,24565.349609375,24565.349609375,263,24565349,0
2025-08-04,NIFTY,FUTIDX,2025-09-03,24596.05078125,24736.25,24554.0,24722.75,24722.75,259,24722750,0
2025-08-05,NIFTY,FUTIDX,2025-09-04,24720.25,24733.099609375,24590.30078125,24649.55078125,24649.55078125,251,24649550,0
2025-08-06,NIFTY,FUTIDX,2025-09-05,24641.349609375,24671.400390625,24539.19921875,24574.19921875,24574.19921875,225,24574199,0
2025-08-07,NIFTY,FUTIDX,2025-09-06,24464.19921875,24634.19921875,24344.150390625,24596.150390625,24596.150390625,616,24596150,0
2025-08-08,NIFTY,FUTIDX,2025-09-07,24544.25,24585.5,24337.5,24363.30078125,24363.30078125,312,24363300,0
2025-08-11,NIFTY,FUTIDX,2025-09-10,24371.5,24600.849609375,24347.44921875,24585.05078125,24585.05078125,241,24585050,0
2025-08-12,NIFTY,FUTIDX,2025-09-11,24563.349609375,24702.599609375,24465.650390625,24487.400390625,24487.400390625,237,24487400,0
2025-08-13,NIFTY,FUTIDX,2025-09-12,24586.19921875,24664.55078125,24535.25,24619.349609375,24619.349609375,236,24619349,0
2025-08-14,NIFTY,FUTIDX,2025-09-13,24607.25,24673.650390625,24596.900390625,24631.30078125,24631.30078125,270,24631300,0
2025-08-18,NIFTY,FUTIDX,2025-09-17,24938.19921875,25022.0,24852.849609375,24876.94921875,24876.94921875,363,24876949,0
2025-08-19,NIFTY,FUTIDX,2025-09-18,24891.349609375,25012.650390625,24873.94921875,24980.650390625,24980.650390625,252,24980650,0
2025-08-20,NIFTY,FUTIDX,2025-09-19,24965.80078125,25088.69921875,24929.69921875,25050.55078125,25050.55078125,287,25050550,0
2025-08-21,NIFTY,FUTIDX,2025-09-20,25142.0,25153.650390625,25054.900390625,25083.75,25083.75,226,25083750,0
2025-08-22,NIFTY,FUTIDX,2025-09-21,25064.150390625,25084.849609375,24859.150390625,24870.099609375,24870.099609375,210,24870099,0
2025-08-25,NIFTY,FUTIDX,2025-09-24,24949.150390625,25021.55078125,24894.349609375,24967.75,24967.75,213,24967750,0
2025-08-26,NIFTY,FUTIDX,2025-09-25,24899.5,24919.650390625,24689.599609375,24712.05078125,24712.05078125,750,24712050,0
2025-08-28,NIFTY,FUTIDX,2025-09-27,24695.80078125,24702.650390625,24481.599609375,24500.900390625,24500.900390625,326,24500900,0
2025-08-29,NIFTY,FUTIDX,2025-09-28,24466.69921875,24572.44921875,24404.69921875,24426.849609375,24426.849609375,325,24426849,0
2025-09-01,NIFTY,FUTIDX,2025-10-01,24432.69921875,24635.599609375,24432.69921875,24625.05078125,24625.05078125,229,24625050,0
2025-09-02,NIFTY,FUTIDX,2025-10-02,24653.0,24756.099609375,24522.349609375,24579.599609375,24579.599609375,271,24579599,0
2025-09-03,NIFTY,FUTIDX,2025-10-03,24616.5,24737.05078125,24533.19921875,24715.05078125,24715.05078125,340,24715050,0
2025-09-04,NIFTY,FUTIDX,2025-10-04,24980.75,24980.75,24708.19921875,24734.30078125,24734.30078125,314,24734300,0
2025-09-05,NIFTY,FUTIDX,2025-10-05,24818.849609375,24832.349609375,24621.599609375,24741.0,24741.0,210,24741000,0
2025-09-08,NIFTY,FUTIDX,2025-10-08,24802.599609375,24885.5,24751.55078125,24773.150390625,24773.150390625,213,24773150,0
2025-09-09,NIFTY,FUTIDX,2025-10-09,24864.099609375,24891.80078125,24814.0,24868.599609375,24868.599609375,226,24868599,0
2025-09-10,NIFTY,FUTIDX,2025-10-10,24991.0,25035.69921875,24915.05078125,24973.099609375,24973.099609375,244,24973099,0
2025-09-11,NIFTY,FUTIDX,2025-10-11,24945.5,25037.30078125,24940.150390625,25005.5,25005.5,224,25005500,0
2025-09-12,NIFTY,FUTIDX,2025-10-12,25074.44921875,25139.44921875,25038.05078125,25114.0,25114.0,225,25114000,0
2025-09-15,NIFTY,FUTIDX,2025-10-15,25118.900390625,25138.44921875,25048.75,25069.19921875,25069.19921875,185,25069199,0
2025-09-16,NIFTY,FUTIDX,2025-10-16,25073.599609375,25261.400390625,25070.44921875,25239.099609375,25239.099609375,240,25239099,0
2025-09-17,NIFTY,FUTIDX,2025-10-17,25276.599609375,25346.5,25275.349609375,25330.25,25330.25,268,25330250,0
2025-09-18,NIFTY,FUTIDX,2025-10-18,25441.05078125,25448.94921875,25329.75,25423.599609375,25423.599609375,272,25423599,0
2025-09-19,NIFTY,FUTIDX,2025-10-19,25410.19921875,25428.75,25286.30078125,25327.05078125,25327.05078125,380,25327050,0
2025-09-22,NIFTY,FUTIDX,2025-10-22,25238.099609375,25331.69921875,25151.05078125,25202.349609375,25202.349609375,254,25202349,0
2025-09-23,NIFTY,FUTIDX,2025-10-23,25209.0,25261.900390625,25084.650390625,25169.5,25169.5,299,25169500,0
2025-09-24,NIFTY,FUTIDX,2025-10-24,25108.75,25149.849609375,25027.44921875,25056.900390625,25056.900390625,244,25056900,0
2025-09-25,NIFTY,FUTIDX,2025-10-25,25034.5,25092.69921875,24878.30078125,24890.849609375,24890.849609375,342,24890849,0
2025-09-26,NIFTY,FUTIDX,2025-10-26,24818.55078125,24868.599609375,24629.44921875,24654.69921875,24654.69921875,291,24654699,0
2025-09-29,NIFTY,FUTIDX,2025-10-29,24728.55078125,24791.30078125,24606.19921875,24634.900390625,24634.900390625,394,24634900,0
2025-09-30,NIFTY,FUTIDX,2025-10-30,24691.94921875,24731.80078125,24587.69921875,24611.099609375,24611.099609375,303,24611099,0
2025-10-01,NIFTY,FUTIDX,2025-10-31,24620.55078125,24867.94921875,24605.94921875,24836.30078125,24836.30078125,308,24836300,0
2025-10-03,NIFTY,FUTIDX,2025-11-02,24759.55078125,24904.80078125,24747.55078125,24894.25,24894.25,365,24894250,0
2025-10-06,NIFTY,FUTIDX,2025-11-05,24916.55078125,25095.94921875,24881.650390625,25077.650390625,25077.650390625,268,25077650,0
2025-10-07,NIFTY,FUTIDX,2025-11-06,25085.30078125,25220.900390625,25076.30078125,25108.30078125,25108.30078125,288,25108300,0
2025-10-08,NIFTY,FUTIDX,2025-11-07,25079.75,25192.5,25008.5,25046.150390625,25046.150390625,227,25046150,0
2025-10-09,NIFTY,FUTIDX,2025-11-08,25074.30078125,25199.25,25024.30078125,25181.80078125,25181.80078125,286,25181800,0
2025-10-10,NIFTY,FUTIDX,2025-11-09,25167.650390625,25330.75,25156.849609375,25285.349609375,25285.349609375,232,25285349,0
2025-10-13,NIFTY,FUTIDX,2025-11-12,25177.30078125,25267.30078125,25152.30078125,25227.349609375,25227.349609375,234,25227349,0
2025-10-14,NIFTY,FUTIDX,2025-11-13,25277.55078125,25310.349609375,25060.55078125,25145.5,25145.5,292,25145500,0
2025-10-15,NIFTY,FUTIDX,2025-11-14,25181.94921875,25365.150390625,25159.349609375,25323.55078125,25323.55078125,289,25323550,0
2025-10-16,NIFTY,FUTIDX,2025-11-15,25394.900390625,25625.400390625,25376.849609375,25585.30078125,25585.30078125,372,25585300,0
2025-10-17,NIFTY,FUTIDX,2025-11-16,25546.849609375,25781.5,25508.599609375,25709.849609375,25709.849609375,422,25709849,0
2025-10-20,NIFTY,FUTIDX,2025-11-19,25824.599609375,25926.19921875,25788.5,25843.150390625,25843.150390625,301,25843150,0
2025-10-21,NIFTY,FUTIDX,2025-11-20,25901.19921875,25934.349609375,25825.80078125,25868.599609375,25868.599609375,42,25868599,0
2025-10-23,NIFTY,FUTIDX,2025-11-22,26057.19921875,26104.19921875,25862.44921875,25891.400390625,25891.400390625,448,25891400,0
2025-10-24,NIFTY,FUTIDX,2025-11-23,25935.099609375,25944.150390625,25718.19921875,25795.150390625,25795.150390625,284,25795150,0
2025-10-27,NIFTY,FUTIDX,2025-11-26,25843.19921875,26005.94921875,25827.0,25966.05078125,25966.05078125,266,25966050,0
2025-10-28,NIFTY,FUTIDX,2025-11-27,25939.94921875,26041.69921875,25810.05078125,25936.19921875,25936.19921875,395,25936199,0
2025-10-29,NIFTY,FUTIDX,2025-11-28,25982.0,26097.849609375,25960.30078125,26053.900390625,26053.900390625,321,26053900,0
2025-10-30,NIFTY,FUTIDX,2025-11-29,25984.400390625,26032.05078125,25845.25,25877.849609375,25877.849609375,257,25877849,0
2025-10-31,NIFTY,FUTIDX,2025-11-30,25863.80078125,25953.75,25711.19921875,25722.099609375,25722.099609375,334,25722099,0
2025-11-03,NIFTY,FUTIDX,2025-12-03,25696.849609375,25803.099609375,25645.5,25763.349609375,25763.349609375,23,25763349,0
2025-11-04,NIFTY,FUTIDX,2025-12-04,25744.75,25787.400390625,25578.400390625,25597.650390625,25597.650390625,305,25597650,0
2025-11-06,NIFTY,FUTIDX,2025-12-06,25593.349609375,25679.150390625,25491.55078125,25509.69921875,25509.69921875,371,25509699,0
2025-11-07,NIFTY,FUTIDX,2025-12-07,25433.80078125,25551.25,25318.44921875,25492.30078125,25492.30078125,305,25492300,0
2025-11-10,NIFTY,FUTIDX,2025-12-10,25503.5,25653.44921875,25503.5,25574.349609375,25574.349609375,243,25574349,0
2025-11-11,NIFTY,FUTIDX,2025-12-11,25617.0,25715.80078125,25449.25,25694.94921875,25694.94921875,297,25694949,0
2025-11-12,NIFTY,FUTIDX,2025-12-12,25834.30078125,25934.55078125,25781.150390625,25875.80078125,25875.80078125,312,25875800,0
2025-11-13,NIFTY,FUTIDX,2025-12-13,25906.099609375,26010.69921875,25808.400390625,25879.150390625,25879.150390625,385,25879150,0
2025-11-14,NIFTY,FUTIDX,2025-12-14,25767.900390625,25940.19921875,25740.80078125,25910.05078125,25910.05078125,518,25910050,0
2025-11-17,NIFTY,FUTIDX,2025-12-17,25948.19921875,26024.19921875,25906.349609375,26013.44921875,26013.44921875,281,26013449,0
2025-11-18,NIFTY,FUTIDX,2025-12-18,26021.80078125,26029.849609375,25876.5,25910.05078125,25910.05078125,280,25910050,0
2025-11-19,NIFTY,FUTIDX,2025-12-19,25918.099609375,26074.650390625,25856.19921875,26052.650390625,26052.650390625,250,26052650,0
2025-11-20,NIFTY,FUTIDX,2025-12-20,26132.099609375,26246.650390625,26063.19921875,26192.150390625,26192.150390625,240,26192150,0
2025-11-21,NIFTY,FUTIDX,2025-12-21,26109.55078125,26179.19921875,26052.19921875,26068.150390625,26068.150390625,235,26068150,0
