headline,timestamp,source,language,sentiment_label,sentiment_score,confidence
Your MF Investment,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9259036183357239
Financial Planning,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9307416677474976
FDs @ 8.15% p.a.,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.8951603174209595
Fixed Deposit Comparison,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9412788152694702
Fixed Deposit Interest Calculator,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.939927875995636
Corporate Deposits,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9138040542602539
Income tax Filing Guide,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.838333249092102
Income Tax Calculator,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9269237518310547
LTCG Tax on Property,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9294516444206238
BANK HOLIDAYS 2025,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.8658028244972229
Pick your Loan Amount,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9390031099319458
Top Loan Providers,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9313936233520508
Aditya Birla Finance,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9395304322242737
Personal Loan Articles,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9295676350593567
Provident Fund Calculator,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9384020566940308
Assets Allocation Planning,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9421626329421997
Debt Reduction Planner,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.5136914253234863
Debt Evaluation Calculator,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9302274584770203
Current Expense Calculator,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9361684918403625
CREDIT CARDSLIFETIMEFREE,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9380120635032654
REAL ESTATE : TRENDS & ANALYTICS,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9358558058738708
GOLD PRICE TODAY,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.8931129574775696
Previous Transcripts,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.925736665725708
Previous Transcript,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.8657317161560059
Membership Rules,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.939755380153656
Historical Polls,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9240193367004395
Market Sentiments,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.8773612380027771
Opening & Closing Bell,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9243390560150146
Podcast on Demand,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9220584034919739
The Week on Dalal Street,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9098125100135803
MC Special Podcast,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9219890832901001
"Invest in top cryptocurrencies all over the worldSee the top gainers, losers, invest and get updated what's happening in the crypto marketInvest Now",2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9374361634254456
Natco Pharma Share Price,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9469584822654724
Rail Vikas Nigam Shares,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9242795705795288
Indigo Share Price,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9351652264595032
Adani Green Share Price,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9433850049972534
Jump to Category,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.8948134183883667
Trade setup for November 25: Top 15 things to know before the opening bells,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9354922771453857
"BNP Paribas, Integrated Core Strategies offload over 2% stake each in Paytm, Fortis Healthcare, GE Vernova T&D",2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.7512354254722595
"FIIs net sell Indian equities worth Rs 4,172 crore, while DIIs net buy Rs 4,513 crore",2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9216102361679077
"Upcoming IPO: TPG, Apax Partners-backed AI firm Fractal Analytics receives SEBI nod to float its Rs 4,900-crore IPO",2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.6363833546638489
"SEBI approves IPO papers of Fractal Analytics, Amagi Media Labs, Sahajanand Medical",2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.8385200500488281
Bitcoin rises 9% from Friday lows but analysts say quick reclaim of recent peaks looks unlikely: Here's why,2025-11-24 18:12:13,MoneyControl,English,positive,1,0.47835567593574524
Top 10 Portfolio Management Strategies for the month of October,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9147048592567444
"Technical View: Nifty turns cautious ahead of F&O expiry, bears may take control if index breaks 25,850; Bank Nifty needs to defend 58,600",2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.6040010452270508
"Taking Stock: Nifty ends below 26,000 ahead of monthly expiry, Sensex dips 331 points; IT outperforms",2025-11-24 18:12:13,MoneyControl,English,negative,-1,0.9643263220787048
"Daily Voice: Post-Q2, Motilal's Gautam Duggad turns most overweight on non-lending financials; prefers midcap IT over largecaps",2025-11-24 18:12:13,MoneyControl,English,positive,1,0.8174919486045837
"Nifty gives up 26,000, Sensex erases day's gains while most sectors settle in the red",2025-11-24 18:12:13,MoneyControl,English,negative,-1,0.7123636603355408
"Sensex settles 550 pts lower from day's high, Nifty ends near 25,950: FII selling among key factors behind market decline",2025-11-24 18:12:13,MoneyControl,English,negative,-1,0.8958114981651306
"Nifty Slips Below 26,100 Amid Sluggish Trade, Midcaps Struggle; IT Lends Support | Closing Bell Live",2025-11-24 18:12:13,MoneyControl,English,negative,-1,0.6091960072517395
"Persistent Systems shares rise 2%, hit 10-month high after CLSA reiterates bullish call",2025-11-24 18:12:13,MoneyControl,English,positive,1,0.929060697555542
Bajaj Electricals shares jump up to 9% as company looks to sell loss-making cookware unit Nirlep,2025-11-24 18:12:13,MoneyControl,English,positive,1,0.9303802847862244
"GIFT City-based DSP Global Equity Fund has Amazon as largest holding, 52 percent portfolio in 19 companies",2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9133042097091675
"Real estate shares fall for 5th day, extend losses to 6%; analysts say 'valuations far ahead of fundamentals'",2025-11-24 18:12:13,MoneyControl,English,negative,-1,0.9742170572280884
"Rupee at record low, breaches 89-mark; what does this mean for investors?",2025-11-24 18:12:13,MoneyControl,English,negative,-1,0.8767926692962646
Howard Marks: 'People are shakily optimistic',2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.37277451157569885
"Funds build cash, valuations bite: Why midcaps may stay on the backfoot",2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.5120711326599121
"Defence index falls 2.5% on Tejas crash, Russia-Ukraine peace talks; Mishra Dhatu Nigam, BEML lead losses",2025-11-24 18:12:13,MoneyControl,English,negative,-1,0.8916397094726562
LIVE: Samir Arora on beating the market and backing new-age stocks,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.767137885093689
"LIVE: Jim Rogers on the Next Big Money-Making Trends: Gold, Silver, AI or India?",2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9193982481956482
Navratri to Diwali: Indians Travel & Spend Like Never Before | Festive Spotlight | 4K,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9075452089309692
"Rajeev Thakkar on hyper-competition, cash holdings and finding value in US and China",2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.7877873182296753
grievanceofficer@nw18.com,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.8901663422584534
Dharmendra Death News,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.789271354675293
Dharmendra Net Worth,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.926981508731842
